Max NOISE,Max WEMP,Max DOC,Max ROUGH,Max WFUEL,Max PURCH,Min RANGE,Min LDMAX,Min VCMAX,PFPF,Algorithm
73.2845521486,1914.8184979171,77.9787910505,1.9983377953,419.9824866949,42536.5116743272,2577.2865812922,15.6039767943,192.5743764862,0.8255847124,Borg
73.2840330796,1892.9715574599,65.8766789692,1.9991349882,447.7429483426,42244.4074945129,2557.3176018991,15.464153403,195.0701615717,0.598701696,Borg
73.5690955821,1887.6496223483,59.2334562409,1.8898460611,449.4022349029,42538.4636764975,2040.7283520123,15.3069160128,200.5278234536,0.8500648525,Borg
73.2993323863,1923.6654980135,65.5215534368,1.852736844,449.9992031171,42880.463957676,2140.869611692,14.7057729806,195.4319128537,0.2978961883,Borg
73.6027841111,1888.7472459479,59.8621443597,1.9980383291,455.6841633144,42617.7015077477,2103.7303561407,16.2810937416,201.6728799975,1.0533509968,Borg
73.3429780741,1960.4042723566,75.7065824133,1.940405669,388.5138317519,43653.6081294275,2014.8407780573,15.3076249384,194.2199027386,0.5922618289,Borg
73.3230698193,1988.4739508844,71.9733394697,1.9989689279,389.7743099663,44268.4345938133,2011.8519088133,16.1482726994,194.5116161798,0.7426988746,Borg
73.3492434775,1887.9315572187,59.857259067,1.8792666891,472.8513668564,42557.4304909318,2013.70447059,14.9584129873,201.4406205462,0.978220612,Borg
73.5037358114,1985.3422164889,70.9706371492,1.998424107,417.2362892675,44208.5776546059,2007.7265232888,16.2028618766,195.3666698942,0.265197024,Borg
73.3350713805,1887.1417741954,71.5834106912,1.8872793623,452.7438009359,42554.4278393342,2014.1853262778,15.6084389406,201.0463100484,0.8854232636,Borg
73.6682267317,1914.5058960873,59.9147054836,1.9434002401,419.9695661527,42932.6752059944,2103.5697426421,15.3110368425,197.3907004493,0.7757439326,Borg
73.4969243956,1890.1155693169,59.769797098,1.8874274828,447.265150804,42585.9311984363,2011.2279351245,15.3519169368,200.2268565954,0.7664925991,Borg
73.3417223987,1889.1799748806,71.2095465606,1.949650735,459.3219485035,42528.4474205547,2110.2655663955,15.9138791915,201.0195589831,0.899990853,Borg
73.5373506894,1901.0339803026,59.8181115211,1.9499375374,449.6296284239,42698.2699573045,2120.8090926119,15.6144274457,199.5171258085,0.5869466321,Borg
73.3469988162,1887.7074603674,64.4017693518,1.9195850872,449.9833942615,42495.2369720217,2054.6886055074,15.6549731311,201.0551286267,0.8652154155,Borg
73.3401372701,1952.7720363529,65.9126289999,1.8899064527,419.8390662797,43360.2454764349,2170.9516497476,14.7042311709,192.8672175184,0.2991835193,Borg
73.302253217,1921.5382093246,65.4152922536,1.9767723184,448.4615451501,42768.9101480742,2429.7627411203,15.3000053651,193.6826621442,0.298666939,Borg
73.2967550419,1884.1709708553,79.898099505,1.8298332506,449.9949891819,42303.8626198395,2101.8596632923,14.8947352536,198.8942041849,0.9686341392,Borg
73.3311051705,1896.4487652501,65.5768061617,1.9787633806,449.2591841734,42720.6530217384,2041.3041313797,16.2121690359,201.1360542592,0.5975906422,Borg
73.3185315497,1889.2981950781,65.834564732,1.9968544941,449.999327504,42618.1217051172,2048.3962220005,16.5042771936,202.3611581314,0.7366418451,Borg
73.3297757552,1926.3660356068,64.3923990657,1.8293613351,449.7610204448,43048.4445454249,2024.5114333085,14.707241627,196.5257369252,0.298808265,Borg
73.2633870825,1882.9387439376,65.28020174,1.9999004086,449.6120342451,42040.1994743527,2576.2473448071,15.4335431116,195.2168861151,0.8872176316,Borg
