Cost,Crit Reliablity,Surplus,Dropped Transfers,Number of Leases,Dropped Transfers Cost,Algorithm
0.0924486498,0.9966666667,0.1183348404,0.0344016463,0.0191,0.0189165,Borg
0.0987936589,0.9925,0.1473137603,0.0197642498,0.0109,0.0198735,Borg
0.1090550441,0.9983333333,0.1974681173,0.0189934724,0.0064,0.007941,Borg
0.0988568269,0.99,0.169531425,0.0158474848,0.0078,0.0226245,Borg
0.0951573648,0.9941666667,0.1424734491,0.0315461189,0.0116,0.0157215,Borg
0.0977915969,0.9983333333,0.1587361692,0.0232226473,0.0118,0.0228805,Borg
0.0935106563,0.9916666667,0.1306449166,0.0316767172,0.0115,0.02525,Borg
0.0937190981,0.9975,0.1242294666,0.0236681836,0.0414,0.0236865,Borg
0.0965607251,0.9933333333,0.1650543518,0.0156496587,0.0079,0.0267585,Borg
0.0899973921,0.9908333333,0.1197947847,0.030800731,0.0218,0.027867,Borg
0.1005562186,0.99,0.1741696917,0.0157274431,0.0078,0.0184215,Borg
0.1023155117,0.9908333333,0.1751666975,0.006829246,0.0161,0.0380975,Borg
0.0944941881,0.9983333333,0.1314790453,0.0312770406,0.0159,0.0224335,Borg
0.0927678575,0.995,0.1277368782,0.0192432598,0.0306,0.0294165,Borg
0.0917190304,0.9983333333,0.1196882282,0.0336439805,0.0195,0.0239475,Borg
0.0908979193,0.9908333333,0.1280883446,0.0348513809,0.0157,0.0189165,Borg
0.0962308561,0.9916666667,0.1540488573,0.0230823423,0.0108,0.0199485,Borg
0.1065948826,0.9983333333,0.2110557216,0.0158434098,0.0079,0.0079815,Borg
0.0911653208,0.9941666667,0.1224449128,0.0315553507,0.0152,0.029505,Borg
0.1023125547,0.9975,0.1945101188,0.0155441356,0.0095,0.010725,Borg
0.0964675691,0.9983333333,0.1424950907,0.0237994886,0.0197,0.0239805,Borg
0.0952371543,0.9991666667,0.1385390856,0.0277884645,0.0159,0.027117,Borg
0.093303073,0.9925,0.1332324274,0.0279472022,0.015,0.0285735,Borg
0.0954957069,0.9983333333,0.1314588186,0.0236101364,0.0197,0.027789,Borg
0.0977622128,0.9925,0.1693489295,0.0114338499,0.0404,0.0305505,Borg
0.1091681305,0.9933333333,0.2220716443,0.0039846697,0.0051,0.03132,Borg
0.0958148358,0.9983333333,0.1311362575,0.0237975895,0.0321,0.022264,Borg
0.0908994002,0.9991666667,0.1195270544,0.0315075827,0.0436,0.0189165,Borg
0.0899286687,0.99,0.1181872201,0.0306240194,0.0198,0.0300705,Borg
0.0915391618,0.9966666667,0.1190582229,0.030947537,0.0192,0.023948,Borg
0.1018107011,0.9941666667,0.1499534805,0.0270964485,0.0079,0.012423,Borg
0.0899583216,0.9983333333,0.1227926051,0.0306083228,0.0279,0.0272755,Borg
